#Da biste uvek imali aktuelne stope, redovno ažurirajte Paragraf Lex
#Datum Od;Datum Do;Metod (1=prvokam-2=prvoglav);Metod (1=prop-2=konf);JP Metod (1=prop-2=konf);Denomimacija;Den(-1=ne-0=da);Zakonska dummy;Zakonska stopa;Zakonska EUR dummy;Zakonska EUR;Rast cena na malo/Ind. pot. cena;Poreska;Stop ECB;Eskontna god;Referentna god
13.04.2011.;30.04.2011.;2;1;2;0;-1;14.6426;1.2035;1.2500;0.1027;1.1000;22.5000;1.2500;12.5000;12.5000
01.05.2011.;16.05.2011.;2;1;2;0;-1;14.1702;1.2035;1.2500;0.1062;0.4000;22.5000;1.2500;12.5000;12.5000
17.05.2011.;31.05.2011.;2;1;2;0;-1;10.6203;0.9020;1.2500;0.1062;0.4000;22.5000;1.2500;12.5000;12.5000
01.06.2011.;08.06.2011.;2;1;2;0;-1;6.0833;0.5000;1.2500;0.1027;-0.3000;22.5000;1.2500;12.5000;12.5000
09.06.2011.;30.06.2011.;2;1;2;0;-1;6.0833;0.5000;1.2500;0.1027;-0.3000;22.0000;1.2500;12.0000;12.0000
01.07.2011.;06.07.2011.;2;1;2;0;-1;5.8871;0.5000;1.2500;0.1062;-0.5000;22.0000;1.2500;12.0000;12.0000
07.07.2011.;12.07.2011.;2;1;2;0;-1;5.8871;0.5000;1.2500;0.1062;-0.5000;21.7500;1.2500;11.7500;11.7500
13.07.2011.;31.07.2011.;2;1;2;0;-1;5.8871;0.5000;1.5000;0.1274;-0.5000;21.7500;1.5000;11.7500;11.7500
01.08.2011.;31.08.2011.;2;1;2;0;-1;5.8871;0.5000;1.5000;0.1274;0.0000;21.7500;1.5000;11.7500;11.7500
01.09.2011.;07.09.2011.;2;1;2;0;-1;8.5288;0.7010;1.5000;0.1233;0.2000;21.7500;1.5000;11.7500;11.7500
08.09.2011.;30.09.2011.;2;1;2;0;-1;8.5288;0.7010;1.5000;0.1233;0.2000;21.2500;1.5000;11.2500;11.2500
01.10.2011.;05.10.2011.;2;1;2;0;-1;10.6203;0.9020;1.5000;0.1274;0.4000;21.2500;1.5000;11.2500;11.2500
06.10.2011.;31.10.2011.;2;1;2;0;-1;10.6203;0.9020;1.5000;0.1274;0.4000;20.7500;1.5000;10.7500;10.7500
01.11.2011.;08.11.2011.;2;1;2;0;-1;17.0881;1.4045;1.5000;0.1233;0.9000;20.7500;1.5000;10.7500;10.7500
09.11.2011.;09.11.2011.;2;1;2;0;-1;17.0881;1.4045;1.2500;0.1027;0.9000;20.7500;1.2500;10.7500;10.7500
10.11.2011.;30.11.2011.;2;1;2;0;-1;17.0881;1.4045;1.2500;0.1027;0.9000;20.0000;1.2500;10.0000;10.0000
01.12.2011.;07.12.2011.;2;1;2;0;-1;5.8871;0.5000;1.2500;0.1062;-0.7000;20.0000;1.2500;10.0000;10.0000
08.12.2011.;13.12.2011.;2;1;2;0;-1;5.8871;0.5000;1.2500;0.1062;-0.7000;19.7500;1.2500;9.7500;9.7500
14.12.2011.;31.12.2011.;2;1;2;0;-1;5.8871;0.5000;1.0000;0.0849;-0.7000;19.7500;1.0000;9.7500;9.7500
01.01.2012.;18.01.2012.;2;1;2;0;-1;7.0898;0.6005;1.0000;0.0847;0.1000;19.7500;1.0000;9.7500;9.7500
19.01.2012.;31.01.2012.;2;1;2;0;-1;7.0898;0.6005;1.0000;0.0847;0.1000;19.5000;1.0000;9.5000;9.5000
01.02.2012.;29.02.2012.;2;1;2;0;-1;16.4574;1.3040;1.0000;0.0792;0.8000;19.5000;1.0000;9.5000;9.5000
01.03.2012.;31.03.2012.;2;1;2;0;-1;18.9553;1.6055;1.0000;0.0847;1.1000;19.5000;1.0000;9.5000;9.5000
01.04.2012.;30.04.2012.;2;1;2;0;-1;13.4566;1.1030;1.0000;0.0820;0.6000;19.5000;1.0000;9.5000;9.5000
01.05.2012.;31.05.2012.;2;1;2;0;-1;22.5149;1.9070;1.0000;0.0847;1.4000;19.5000;1.0000;9.5000;9.5000
01.06.2012.;06.06.2012.;2;1;2;0;-1;19.5871;1.6055;1.0000;0.0820;1.1000;19.5000;1.0000;9.5000;9.5000
07.06.2012.;30.06.2012.;2;1;2;0;-1;19.5871;1.6055;1.0000;0.0820;1.1000;20.0000;1.0000;10.0000;10.0000
01.07.2012.;10.07.2012.;2;1;2;0;-1;7.0898;0.6005;1.0000;0.0847;0.1000;20.0000;1.0000;10.0000;10.0000
11.07.2012.;11.07.2012.;2;1;2;0;-1;7.0898;0.6005;0.7500;0.0635;0.1000;20.0000;0.7500;10.0000;10.0000
12.07.2012.;31.07.2012.;2;1;2;0;-1;7.0898;0.6005;0.7500;0.0635;0.1000;20.2500;0.7500;10.2500;10.2500
01.08.2012.;08.08.2012.;2;1;2;0;-1;24.8880;2.1080;0.7500;0.0635;1.6000;20.2500;0.7500;10.2500;10.2500
09.08.2012.;31.08.2012.;2;1;2;0;-1;24.8880;2.1080;0.7500;0.0635;1.6000;20.5000;0.7500;10.5000;10.5000
01.09.2012.;30.09.2012.;2;1;2;0;-1;34.3003;2.8115;0.7500;0.0615;2.3000;20.5000;0.7500;10.5000;10.5000
01.10.2012.;08.10.2012.;2;1;2;0;-1;39.1266;3.3140;0.7500;0.0635;2.8000;20.5000;0.7500;10.5000;10.5000
09.10.2012.;31.10.2012.;2;1;2;0;-1;39.1266;3.3140;0.7500;0.0635;2.8000;20.7500;0.7500;10.7500;10.7500
01.11.2012.;07.11.2012.;2;1;2;0;-1;6.1000;0.5000;0.7500;0.0615;0.0000;20.7500;0.7500;10.7500;10.7500
08.11.2012.;30.11.2012.;2;1;2;0;-1;6.1000;0.5000;0.7500;0.0615;0.0000;20.9500;0.7500;10.9500;10.9500
01.12.2012.;13.12.2012.;2;1;2;0;-1;5.9032;0.5000;0.7500;0.0635;-0.4000;20.9500;0.7500;10.9500;10.9500
14.12.2012.;24.12.2012.;2;1;2;0;-1;5.9032;0.5000;0.7500;0.0635;-0.4000;21.2500;0.7500;11.2500;11.2500
25.12.2012.;31.12.2012.;2;1;2;0;-1;19.2500;19.2500;8.7500;0.7411;-0.4000;21.2500;0.7500;11.2500;11.2500
01.01.2013.;16.01.2013.;2;1;1;0;-1;19.2500;19.2500;8.7500;0.7432;0.6000;21.2500;0.7500;11.2500;11.2500
17.01.2013.;17.01.2013.;2;1;1;0;-1;19.2500;19.2500;8.7500;0.7432;0.6000;21.5000;0.7500;11.5000;11.5000
18.01.2013.;31.01.2013.;2;1;1;0;-1;19.5000;19.5000;8.7500;0.7432;0.6000;21.5000;0.7500;11.5000;11.5000
01.02.2013.;04.02.2013.;2;1;1;0;-1;19.5000;19.5000;8.7500;0.6712;0.5000;21.5000;0.7500;11.5000;11.5000
05.02.2013.;05.02.2013.;2;1;1;0;-1;19.5000;19.5000;8.7500;0.6712;0.5000;21.7500;0.7500;11.7500;11.7500
06.02.2013.;28.02.2013.;2;1;1;0;-1;19.7500;19.7500;8.7500;0.6712;0.5000;21.7500;0.7500;11.7500;11.7500
01.03.2013.;31.03.2013.;2;1;1;0;-1;19.7500;19.7500;8.7500;0.7432;0.0000;21.7500;0.7500;11.7500;11.7500
01.04.2013.;30.04.2013.;2;1;1;0;-1;19.7500;19.7500;8.7500;0.7192;0.8000;21.7500;0.7500;11.7500;11.7500
01.05.2013.;07.05.2013.;2;1;1;0;-1;19.7500;19.7500;8.7500;0.7432;0.0000;21.7500;0.7500;11.7500;11.7500
08.05.2013.;13.05.2013.;2;1;1;0;-1;19.7500;19.7500;8.5000;0.7219;0.0000;21.7500;0.5000;11.7500;11.7500
14.05.2013.;14.05.2013.;2;1;1;0;-1;19.7500;19.7500;8.5000;0.7219;0.0000;21.2500;0.5000;11.2500;11.2500
15.05.2013.;31.05.2013.;2;1;1;0;-1;19.2500;19.2500;8.5000;0.7219;0.0000;21.2500;0.5000;11.2500;11.2500
01.06.2013.;05.06.2013.;2;1;1;0;-1;19.2500;19.2500;8.5000;0.6986;1.0000;21.2500;0.5000;11.2500;11.2500
06.06.2013.;06.06.2013.;2;1;1;0;-1;19.2500;19.2500;8.5000;0.6986;1.0000;21.0000;0.5000;11.0000;11.0000
07.06.2013.;30.06.2013.;2;1;1;0;-1;19.0000;19.0000;8.5000;0.6986;1.0000;21.0000;0.5000;11.0000;11.0000
01.07.2013.;31.07.2013.;2;1;1;0;-1;19.0000;19.0000;8.5000;0.7219;-0.9000;21.0000;0.5000;11.0000;11.0000
01.08.2013.;31.08.2013.;2;1;1;0;-1;19.0000;19.0000;8.5000;0.7219;0.4000;21.0000;0.5000;11.0000;11.0000
01.09.2013.;30.09.2013.;2;1;1;0;-1;19.0000;19.0000;8.5000;0.6986;0.0000;21.0000;0.5000;11.0000;11.0000
01.10.2013.;17.10.2013.;2;1;1;0;-1;19.0000;19.0000;8.5000;0.7219;0.2000;21.0000;0.5000;11.0000;11.0000
18.10.2013.;18.10.2013.;2;1;1;0;-1;19.0000;19.0000;8.5000;0.7219;0.2000;20.5000;0.5000;10.5000;10.5000
19.10.2013.;31.10.2013.;2;1;1;0;-1;18.5000;18.5000;8.5000;0.7219;0.2000;20.5000;0.5000;10.5000;10.5000
01.11.2013.;06.11.2013.;2;1;1;0;-1;18.5000;18.5000;8.5000;0.6986;-0.6000;20.5000;0.5000;10.5000;10.5000
07.11.2013.;07.11.2013.;2;1;1;0;-1;18.5000;18.5000;8.5000;0.6986;-0.6000;20.0000;0.5000;10.0000;10.0000
08.11.2013.;12.11.2013.;2;1;1;0;-1;18.0000;18.0000;8.5000;0.6986;-0.6000;20.0000;0.5000;10.0000;10.0000
13.11.2013.;30.11.2013.;2;1;1;0;-1;18.0000;18.0000;8.2500;0.6781;-0.6000;20.0000;0.2500;10.0000;10.0000
01.12.2013.;16.12.2013.;2;1;1;0;-1;18.0000;18.0000;8.2500;0.7007;0.2000;20.0000;0.2500;10.0000;10.0000
17.12.2013.;17.12.2013.;2;1;1;0;-1;18.0000;18.0000;8.2500;0.7007;0.2000;19.5000;0.2500;9.5000;9.5000
18.12.2013.;31.12.2013.;2;1;1;0;-1;17.5000;17.5000;8.2500;0.7007;0.2000;19.5000;0.2500;9.5000;9.5000
01.01.2014.;31.01.2014.;2;1;1;0;-1;17.5000;17.5000;8.2500;0.7007;1.4000;19.5000;0.2500;9.5000;9.5000
01.02.2014.;28.02.2014.;2;1;1;0;-1;17.5000;17.5000;8.2500;0.6329;0.1000;19.5000;0.2500;9.5000;9.5000
01.03.2014.;31.03.2014.;2;1;1;0;-1;17.5000;17.5000;8.2500;0.7007;-0.3000;19.5000;0.2500;9.5000;9.5000
01.04.2014.;30.04.2014.;2;1;1;0;-1;17.5000;17.5000;8.2500;0.6781;0.6000;19.5000;0.2500;9.5000;9.5000
01.05.2014.;07.05.2014.;2;1;1;0;-1;17.5000;17.5000;8.2500;0.7007;0.1000;19.5000;0.2500;9.5000;9.5000
08.05.2014.;08.05.2014.;2;1;1;0;-1;17.5000;17.5000;8.2500;0.7007;0.1000;19.0000;0.2500;9.0000;9.0000
09.05.2014.;31.05.2014.;2;1;1;0;-1;17.0000;17.0000;8.2500;0.7007;0.1000;19.0000;0.2500;9.0000;9.0000
01.06.2014.;10.06.2014.;2;1;1;0;-1;17.0000;17.0000;8.2500;0.6781;0.1000;19.0000;0.2500;9.0000;9.0000
11.06.2014.;11.06.2014.;2;1;1;0;-1;17.0000;17.0000;8.1500;0.6699;0.1000;19.0000;0.1500;9.0000;9.0000
12.06.2014.;12.06.2014.;2;1;1;0;-1;17.0000;17.0000;8.1500;0.6699;0.1000;18.5000;0.1500;8.5000;8.5000
13.06.2014.;30.06.2014.;2;1;1;0;-1;16.5000;16.5000;8.1500;0.6699;0.1000;18.5000;0.1500;8.5000;8.5000
01.07.2014.;31.07.2014.;2;1;1;0;-1;16.5000;16.5000;8.1500;0.6922;-0.1000;18.5000;0.1500;8.5000;8.5000
01.08.2014.;31.08.2014.;2;1;1;0;-1;16.5000;16.5000;8.1500;0.6922;-0.2000;18.5000;0.1500;8.5000;8.5000
01.09.2014.;09.09.2014.;2;1;1;0;-1;16.5000;16.5000;8.1500;0.6699;0.7000;18.5000;0.1500;8.5000;8.5000
10.09.2014.;30.09.2014.;2;1;1;0;-1;16.5000;16.5000;8.0500;0.6616;0.7000;18.5000;0.0500;8.5000;8.5000
01.10.2014.;31.10.2014.;2;1;1;0;-1;16.5000;16.5000;8.0500;0.6837;-0.2000;18.5000;0.0500;8.5000;8.5000
01.11.2014.;12.11.2014.;2;1;1;0;-1;16.5000;16.5000;8.0500;0.6616;0.0000;18.5000;0.0500;8.5000;8.5000
13.11.2014.;13.11.2014.;2;1;1;0;-1;16.5000;16.5000;8.0500;0.6616;0.0000;18.0000;0.0500;8.0000;8.0000
14.11.2014.;30.11.2014.;2;1;1;0;-1;16.0000;16.0000;8.0500;0.6616;0.0000;18.0000;0.0500;8.0000;8.0000
01.12.2014.;31.12.2014.;2;1;1;0;-1;16.0000;16.0000;8.0500;0.6837;-0.4000;18.0000;0.0500;8.0000;8.0000
01.01.2015.;31.01.2015.;1;1;1;0;-1;16.0000;16.0000;8.0500;0.6837;-0.2000;18.0000;0.0500;8.0000;8.0000
01.02.2015.;28.02.2015.;1;1;1;0;-1;16.0000;16.0000;8.0500;0.6175;0.9000;18.0000;0.0500;8.0000;8.0000
01.03.2015.;12.03.2015.;1;1;1;0;-1;16.0000;16.0000;8.0500;0.6837;0.7000;18.0000;0.0500;8.0000;8.0000
12.03.2015.;12.03.2015.;1;1;1;0;-1;16.0000;16.0000;8.0500;0.6837;0.7000;17.5000;0.0500;7.5000;7.5000
13.03.2015.;31.03.2015.;1;1;1;0;-1;15.5000;15.5000;8.0500;0.6837;0.7000;17.5000;0.0500;7.5000;7.5000
01.04.2015.;08.04.2015.;1;1;1;0;-1;15.5000;15.5000;8.0500;0.6616;0.5000;17.5000;0.0500;7.5000;7.5000
09.04.2015.;09.04.2015.;1;1;1;0;-1;15.5000;15.5000;8.0500;0.6616;0.5000;17.0000;0.0500;7.0000;7.0000
10.04.2015.;30.04.2015.;1;1;1;0;-1;15.0000;15.0000;8.0500;0.6616;0.5000;17.0000;0.0500;7.0000;7.0000
01.05.2015.;10.05.2015.;1;1;1;0;-1;15.0000;15.0000;8.0500;0.6837;-0.3000;17.0000;0.0500;7.0000;7.0000
11.05.2015.;11.05.2015.;1;1;1;0;-1;15.0000;15.0000;8.0500;0.6837;-0.3000;16.5000;0.0500;6.5000;6.5000
12.05.2015.;31.05.2015.;1;1;1;0;-1;14.5000;14.5000;8.0500;0.6837;-0.3000;16.5000;0.0500;6.5000;6.5000
01.06.2015.;10.06.2015.;1;1;1;0;-1;14.5000;14.5000;8.0500;0.6837;0.5000;16.5000;0.0500;6.5000;6.5000
11.06.2015.;11.06.2015.;1;1;1;0;-1;14.5000;14.5000;8.0500;0.6837;0.5000;16.0000;0.0500;6.0000;6.0000
12.06.2015.;30.06.2015.;1;1;1;0;-1;14.0000;14.0000;8.0500;0.6837;0.5000;16.0000;0.0500;6.0000;6.0000
01.07.2015.;31.07.2015.;1;1;1;0;-1;14.0000;14.0000;8.0500;0.6837;-0.9000;16.0000;0.0500;6.0000;6.0000
01.08.2015.;12.08.2015.;1;1;1;0;-1;14.0000;14.0000;8.0500;0.6837;#;16.0000;0.0500;6.0000;6.0000
